"id_poliza","nombre_cliente","fecha_inicio","fecha_fin","monto_cobertura","estado"
73,"Juan","2015-09-16",2023-10-06,32523.54,"Expirada"
57,"Luis","2017-03-08",2016-01-24,20143.19,"Expirada"
46,"Carlos","2021-10-29",2016-06-24,12556.6,"Activa"
95,"Carlos","2018-04-13",2019-12-10,48975.72,"Activa"
81,"Luis","2019-05-13",2018-04-03,31276.24,"Activa"
58,"Luis","2017-05-25",2016-07-02,50242.7,NA
95,"Ana","2018-09-24",2017-08-31,41559.31,"Activa"
61,"María","2022-01-02",2021-10-24,38225.97,NA
60,"Carlos","2019-03-20",2017-03-17,43685.26,NA
-59,"Luis","2019-11-13",2020-11-01,39435.03,NA
99,NA,"2017-06-21",2021-06-05,11640.05,"Cancelada"
3,"Carlos","2017-02-15",2017-03-26,11716.5,NA
32,"Luis","2015-05-10",2022-08-29,12882.25,"Expirada"
9,"Juan","2017-04-19",2019-07-14,38716.08,"Activa"
96,"Juan","2018-12-25",2021-03-14,NA,"Activa"
99,"Luis","2017-10-26",2023-04-24,82543.33,NA
99,"Ana","2019-10-10",2017-07-30,60078.02,"Expirada"
98,"Ana","2015-01-09",2021-04-23,11782.84,"Expirada"
31,"Juan","2019-10-04",2016-02-03,28420.21,"Expirada"
-60,"Ana","31-12-2023",2023-06-03,97722.68,NA
95,"Carlos","2020-11-22",2017-06-06,17664.35,"Expirada"
53,NA,"2017-09-16",2023-10-09,52519.73,"Expirada"
59,"Carlos","2019-09-28",2019-07-11,55893.27,"Cancelada"
49,"Luis","2021-10-08",2023-03-11,76763.98,"Cancelada"
14,NA,"2018-11-29",2021-09-29,94875.41,"Invalido"
76,"Carlos","2018-01-31",2021-10-05,13243.73,"Activa"
97,"Luis","2017-10-13",2023-12-06,30134.1,NA
45,"Juan","2019-11-28",2021-07-25,66039.49,"Cancelada"
31,"Luis","2015-07-18",2018-03-15,36559.04,"Expirada"
-70,"Carlos","2016-10-17",2023-07-06,NA,"Expirada"
90,"Juan","2019-10-05",2016-08-24,45758.76,NA
42,"Carlos","2016-10-27",2017-03-23,29176.95,"Expirada"
64,NA,"2016-04-07",2017-04-09,33363.35,"Expirada"
90,"María","2020-07-02",2016-08-07,10453.42,"Activa"
43,"María","2019-10-04",2018-08-15,89907.87,"Cancelada"
61,"Luis","2019-04-27",2022-12-09,53196.91,NA
61,"Ana","2022-01-26",2023-04-03,96636.3,"Activa"
58,NA,"2018-12-15",2020-05-24,64791.57,"Expirada"
85,"Luis","2020-02-12",2020-11-21,52702.32,NA
-84,NA,"31-12-2023",2019-06-24,91929.45,"Cancelada"
14,"Carlos","2016-05-24",2019-12-08,76045.98,"Expirada"
8,"Ana","2017-08-09",2021-06-18,86593.84,"Activa"
72,NA,"2020-08-02",2019-04-17,25657.24,"Cancelada"
20,"Ana","2021-08-06",2016-01-25,15860.62,NA
6,NA,"2022-01-26",2021-08-28,NA,"Expirada"
88,"Luis","2022-06-08",2022-04-26,16211.87,"Cancelada"
39,"Juan","2020-04-27",2017-01-17,26529.86,"Expirada"
10,"María","2021-03-20",2016-11-21,11198.49,NA
74,"Luis","2017-06-17",2022-09-20,25374.43,NA
-89,"Luis","2020-12-26",2022-06-21,64217.63,"Invalido"
26,"María","2020-02-14",2017-04-13,28159.61,NA
9,"Juan","2021-04-04",2018-01-11,85507.51,"Cancelada"
96,NA,"2019-04-01",2017-12-30,73675.06,NA
37,"Luis","2019-08-13",2022-07-01,93021.65,NA
81,"Juan","2020-03-28",2023-11-07,95191.96,"Activa"
95,"Carlos","2021-12-12",2019-04-21,17305.39,NA
44,"Juan","2020-01-03",2017-03-25,33115.71,"Activa"
99,"Luis","2016-01-01",2021-11-24,51309.75,"Expirada"
26,NA,"2015-03-30",2016-10-28,53684.5,NA
-9,"María","31-12-2023",2017-04-18,NA,"Cancelada"
3,"Juan","2021-03-08",2020-12-15,51035.84,"Expirada"
74,"Ana","2016-05-25",2018-08-13,37207.46,NA
20,"María","2022-08-11",2019-02-23,90359.45,NA
66,"Ana","2019-07-05",2019-11-15,26225.46,"Cancelada"
65,"Carlos","2019-01-23",2021-02-23,31990.21,"Expirada"
45,"María","2022-05-28",2017-07-19,16897.31,NA
28,NA,"2022-07-26",2018-08-20,20972.79,NA
22,"Juan","2022-10-12",2019-07-27,24388.15,"Expirada"
80,"Luis","2021-09-23",2022-06-20,23091.65,NA
-28,"Luis","2022-04-13",2022-03-03,28793.04,"Cancelada"
30,"Ana","2022-07-03",2022-05-17,78877.81,"Activa"
25,"Luis","2021-11-25",2019-02-12,16316.52,NA
28,"Ana","2018-03-16",2016-11-30,67659.53,"Activa"
93,"Carlos","2017-03-12",2019-05-01,80362.64,"Cancelada"
44,"Carlos","2021-07-21",2019-12-29,NA,"Invalido"
18,"Ana","2021-12-19",2019-11-02,81609.7,NA
50,"Luis","2022-04-14",2021-01-24,79681.72,"Cancelada"
17,"Ana","2022-02-15",2017-05-12,64047.35,"Activa"
44,"Carlos","2015-11-05",2023-06-16,24440.19,"Expirada"
-30,"Juan","31-12-2023",2023-10-02,92666.88,"Cancelada"
86,"Carlos","2021-05-01",2021-03-17,93826.32,"Expirada"
34,"Ana","2016-09-12",2019-09-09,93258.26,"Expirada"
73,"María","2021-02-06",2023-04-12,31034.72,"Cancelada"
10,"Ana","2018-09-13",2017-06-10,40754.09,"Activa"
37,NA,"2018-11-28",2023-12-18,58464.82,"Expirada"
2,"Carlos","2016-05-03",2023-10-17,71076.37,"Activa"
82,"María","2020-06-24",2019-05-11,62655.7,"Activa"
15,"Luis","2022-02-19",2022-07-10,29679.9,NA
99,NA,"2022-05-25",2019-11-07,72814.3,"Cancelada"
-75,"Carlos","2022-11-09",2021-04-24,NA,"Expirada"
9,"María","2017-06-27",2018-09-20,44514.94,"Cancelada"
62,"Luis","2019-05-31",2017-08-14,56033.63,"Expirada"
7,"Ana","2019-09-13",2020-07-01,42617.69,NA
52,"Ana","2020-11-04",2021-05-26,68833.55,NA
81,"Ana","2020-10-27",2017-05-18,59786.91,NA
84,NA,"2020-10-21",2019-01-08,46262.24,"Activa"
56,"Luis","2019-07-04",2019-10-14,46923.86,"Activa"
42,"Carlos","2022-11-30",2019-08-17,87485.22,NA
26,NA,"2015-09-20",2018-12-26,82535.71,"Activa"
-4,NA,"31-12-2023",2022-07-08,63631.95,"Invalido"
68,NA,"2017-07-18",2023-09-06,95109.97,"Activa"
83,"Luis","2015-08-03",2018-12-02,85563.63,"Expirada"
64,NA,"2018-12-30",2020-07-12,39507.22,"Cancelada"
92,"Juan","2015-06-20",2020-03-28,47952.63,NA
58,"Luis","2015-07-12",2021-12-06,NA,"Expirada"
62,NA,"2020-08-22",2023-02-08,64884.69,"Activa"
25,"Ana","2020-11-10",2023-04-03,63765.95,"Activa"
12,"Luis","2021-07-19",2020-08-26,31088.26,"Cancelada"
85,"Ana","2018-03-09",2020-03-14,30086.37,"Expirada"
-39,"María","2017-12-14",2023-03-17,17812.64,"Cancelada"
30,NA,"2018-03-19",2016-02-18,41211.76,"Cancelada"
94,"María","2016-07-21",2018-08-06,97181.02,"Expirada"
31,"Ana","2016-02-25",2018-07-06,13777.35,NA
58,"Juan","2020-01-10",2018-05-17,71808.27,"Cancelada"
37,"Luis","2021-08-14",2020-05-06,64333.13,"Expirada"
8,"Carlos","2022-10-03",2017-04-23,79831.42,"Activa"
53,"Carlos","2020-06-16",2018-01-22,14778.24,"Activa"
38,"Carlos","2015-03-27",2017-07-15,63038.55,"Activa"
89,"Juan","2015-01-15",2016-10-23,50799.09,NA
-22,"Ana","31-12-2023",2021-05-15,NA,"Cancelada"
83,"Ana","2017-03-05",2022-10-25,66498.45,NA
87,"Juan","2019-11-16",2021-01-29,69908.86,"Cancelada"
80,"Juan","2019-03-21",2021-01-22,12578.98,"Activa"
68,"Carlos","2016-06-07",2020-11-02,66940.7,"Activa"
76,"María","2018-12-17",2021-06-20,38732.24,"Invalido"
22,NA,"2019-07-02",2017-08-07,67830.28,"Cancelada"
99,"Carlos","2020-11-03",2017-12-03,59435.31,NA
76,NA,"2021-03-06",2019-02-14,95921.82,NA
12,"María","2018-03-10",2020-09-24,21687.65,"Expirada"
-79,"Carlos","2017-11-04",2017-12-31,29066.32,"Cancelada"
69,"Luis","2016-07-25",2016-08-05,40952.43,"Activa"
82,"Luis","2022-01-13",2019-05-07,53148.81,"Expirada"
20,NA,"2015-11-08",2021-06-12,55185.04,"Cancelada"
68,"Carlos","2022-06-21",2023-11-30,45266.96,NA
59,"Juan","2019-02-09",2019-07-20,NA,"Expirada"
57,"Juan","2016-06-15",2023-01-05,21015.14,NA
92,"Juan","2017-07-15",2023-06-24,16663.42,"Cancelada"
41,"Juan","2017-08-08",2022-07-09,30254.93,"Activa"
13,NA,"2019-02-18",2017-08-20,21375.16,"Cancelada"
-43,"Ana","31-12-2023",2023-01-12,31176.19,"Expirada"
67,NA,"2021-05-20",2020-10-19,44359.66,"Expirada"
7,"Luis","2015-06-04",2016-10-24,12432.04,"Activa"
15,"Carlos","2015-03-17",2021-08-13,17418.65,"Cancelada"
19,NA,"2019-07-06",2017-03-19,34780.41,"Expirada"
82,"Ana","2019-05-11",2019-07-28,11917.6,"Activa"
38,"Juan","2021-03-16",2022-09-11,18747.67,"Cancelada"
1,"Ana","2019-08-07",2023-08-04,72396.68,"Cancelada"
14,"Carlos","2018-05-26",2022-04-26,71425.56,"Expirada"
52,"Juan","2017-04-11",2022-08-17,80181.51,"Activa"
-88,"Ana","2022-10-19",2023-03-31,NA,"Invalido"
